Start Time,End Time,Speaker,Age,Gender,Transcription,emotion,Audio File Path
0.21659375,1.71846875,SPEAKER_02,0.534069836139679,0, And what does that make ketchup?,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_0.wav
1.71846875,6.207218750000001,SPEAKER_00,0.4964092969894409,1," Buh! Oh, brother, this guy stinks!",hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_0.wav
6.207218750000001,9.531593750000004,SPEAKER_01,0.4122679531574249,1, What's the point? I can't do anything right?,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_0.wav
16.58534375,19.97721875,SPEAKER_02,0.3714834153652191,1," Hey pal, you just blowing from stupid down?",neu,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_0.wav
0.03096875,8.535968750000002,SPEAKER_01,0.4598103165626526,1," Yes, hey, I just got my license. Hey, I'm getting my neck. Hey, I doubt it. Okay",hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_1.wav
8.535968750000002,19.97721875,SPEAKER_00,0.3785784840583801,1, on the road. I'll go down in history. Someday there will be a wing with my name on it in all the museums of the world.,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_1.wav
0.8072187500000001,3.99659375,SPEAKER_00,0.3594416081905365,1," Dude, you're teaching art at the rec center. Calm down.",ang,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_2.wav
3.99659375,6.03846875,SPEAKER_03,0.4219654202461242,1, Hey buddy you need a,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_2.wav
6.03846875,10.52721875,SPEAKER_04,0.4171417951583862,1, I was just on my way to the Big Dufus Convention.,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_2.wav
10.52721875,14.52659375,SPEAKER_02,0.5253282189369202,1," This is humiliating. Hey, do you sell food here?",ang,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_2.wav
14.52659375,19.97721875,SPEAKER_01,0.3632752299308777,0," Yes, sir. We sell putty patties.",hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_2.wav
3.03471875,5.0259687500000005,SPEAKER_02,0.4727287888526916,1, Green! Ha ha ha!,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_3.wav
5.0259687500000005,9.531593750000004,SPEAKER_01,0.4372774064540863,1, Hahahaha 00 So THE ENDproduct of all sorts of upgrade000絶,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_3.wav
9.531593750000004,12.704093750000002,SPEAKER_03,0.4161104559898376,1, So hungry.,sad,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_3.wav
12.704093750000002,16.88909375,SPEAKER_00,0.3201606869697571,0," Oh! Mr. Krabs, a customer! Oh!",hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_3.wav
17.59784375,19.97721875,SPEAKER_03,0.4688941240310669,0, no food ...ció,hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_3.wav
0.03096875,6.83159375,SPEAKER_00,0.4943839907646179,1," days! Hold on, Mibako! Food's on the way! You got money, right? Yeah.",hap,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_4.wav
6.83159375,9.91971875,SPEAKER_01,0.4921515583992004,1, Bring this one some grub before he kills over!,ang,30_Savage_Background_Fish_Moments_SpongeBob_16k_chunk_4.wav
