Start Time,End Time,Speaker,Age,Gender,Transcription,emotion,Audio File Path
8.586593750000002,19.97721875,SPEAKER_00,0.5170988440513611,1," Take a breathe, breathe. What are you afraid of? What is stopping you from achieving what you want? What is preventing you from enjoying your life? Because whatever it is, it's only in...",ang,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_0.wav
0.03096875,2.73096875,SPEAKER_01,0.5314604640007019,1, What's going on with deepest?,neu,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_1.wav
6.19034375,10.81409375,SPEAKER_03,0.5369347929954529,1, I am down to my last life. And I...,sad,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_1.wav
13.480343750000005,16.16346875,SPEAKER_00,0.3568863272666931,1," Well, it's okay.",sad,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_1.wav
16.48409375,19.97721875,SPEAKER_02,0.5338024497032166,1," Baby, ikards. Nou, nog voor waar!igsmeertens!",sad,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_1.wav
0.03096875,8.586593750000002,SPEAKER_00,0.6560975909233093,1," supposed to be a fearless hero, a legend, but with our lives to spare, I am nothing.",sad,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_2.wav
9.582218750000004,19.97721875,SPEAKER_01,0.5126729011535645,1," We have all been afraid, afraid of the new, of the different, of taking risks. But fear is necessary because it is when we overcome it that we grow.",neu,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_2.wav
0.03096875,19.97721875,SPEAKER_00,0.5756632089614868,1," So don't be afraid to fail. Be afraid of never having tried. You will always have time to do it. Every day is a new opportunity to start over. Have you failed? Have you fallen? Then get up, learn from your mistakes, and move forward. And don't count the days. Make the days count. I don't think they've changed. We've got to come!",ang,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_3.wav
0.03096875,9.86909375,SPEAKER_00,0.5440922975540161,1," Master, I do not return to Earth. But life is sustainable now. Look at this plant, green and growing. It's living proof he was wrong.",sad,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_4.wav
12.02909375,19.97721875,SPEAKER_00,0.538282573223114,1, It's completely relevant. Out there is our home. Home auto and it's in trouble. I can't just sit here and do nothing.,hap,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_4.wav
0.03096875,4.92471875,SPEAKER_02,0.478964239358902,1, Nothing? That's all I've ever done! That's all anyone in this blast that ship has ever done!,hap,ANIMATED_Movie_QUOTES_That_Will_LEAVE_You_SPEECHLESS_16k_chunk_5.wav
