Start Time,End Time,Speaker,Age,Gender,Transcription,emotion,Audio File Path
0.03096875,15.657218750000002,SPEAKER_01,0.4105929732322693,1," Ever notice anything strange in the background of SpongeBob? Because while you might be focused on this, or this, or this, you might be missing something like this. Here are 10 details in the background of SpongeBob you might have missed. Number 10.",ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_0.wav
15.47159375,19.977218750000002,SPEAKER_00,0.4216197431087494,1, Granny Patties! Available in six designer colors.,hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_0.wav
1.7353437500000002,4.73909375,SPEAKER_00,0.5207014083862305,0, Pretty patty are famous for their surprising side effect.,hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_1.wav
6.0553437500000005,9.025343750000001,SPEAKER_01,0.449740469455719,1, Your dumb pretty patties turn my face,hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_1.wav
9.025343750000001,19.977218750000002,SPEAKER_00,0.38381728529930115,1," But maybe the bikini bottomites could have seen this coming. If they paid really close attention to this news broadcast, they'd see that pretty patties had some weird effects on SpongeBob and pat-",hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_1.wav
6.64596875,16.31534375,SPEAKER_01,0.41136500239372253,1," Where are their legs? Did the pretty patties make them invisible? I sure hope so. Because otherwise they might want to take a trip to the leg doctor. Hey, at least they can keep Fred company.",hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_2.wav
0.03096875,7.06784375,SPEAKER_00,0.3790619969367981,1, I found out it might kill! And look at our tops! What's wrong with you?,hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_3.wav
8.83971875,14.037218750000001,SPEAKER_01,0.3733941614627838,1," We want our money back! All 46,853 of us!",hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_3.wav
14.037218750000001,15.707843750000002,SPEAKER_03,0.4819759428501129,1," Yep, more pretty patties.",hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_3.wav
15.707843750000002,19.977218750000002,SPEAKER_02,0.4204983413219452,1, They're just so mysterious. We know they can change the color of people.,ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_3.wav
0.03096875,19.977218750000002,SPEAKER_00,0.39164870977401733,1," the patterns of their underwear and even give people glow in the dark properties. But are they responsible for this? And if not, what are these things? Tall, wide-eyed, forwardless creatures staring eerily at crabs? They're kind of terrifying, actually. Number 8.",hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_4.wav
5.4478437500000005,19.33596875,SPEAKER_00,0.42782044410705566,1," Okay, there is a lot going on here I know. But while it may seem like random chaos, if we pause it and look more closely at what's going on in the bottom left, there's a few frames that actually tell an unfortunate story. Let's break it down.",ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_5.wav
0.03096875,19.977218750000002,SPEAKER_01,0.39037245512008667,1," Here we see two firefighters, and they're holding a trampoline between them. If you look above them, you'll notice a fish-shaped hole in the top of the building. And finally, if you look down here, way in the corner of the frame, you can just make out two feet of someone lying on the ground. Have you put it together? We can't say for sure, but...",hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_6.wav
0.03096875,7.9790937500000005,SPEAKER_01,0.3949419856071472,1," It looks like this fish jumped out of this burning building while these firefighters tried to catch him, but they missed. Out.",ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_7.wav
7.9790937500000005,9.700343750000002,SPEAKER_02,0.5143628120422363,1, Number 7,ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_7.wav
11.72534375,16.652843750000002,SPEAKER_00,0.33947864174842834,0, Just think what might have happened if we didn't tell everyone about the monster!,hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_7.wav
18.39096875,19.977218750000002,SPEAKER_01,0.42802008986473083,1, This one is action.,neu,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_7.wav
0.03096875,11.52284375,SPEAKER_01,0.4143247604370117,1," from a little later in the same scene. Like we said, there is a lot going on here, but we're not talking about the meteor. Or the man who shower takes up the entire second story of his house. We're talking...",ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_8.wav
17.918468750000002,19.977218750000002,SPEAKER_02,0.41397207975387573,1, I mean the cause of all this chaos was wormy the-,ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_8.wav
0.03096875,2.91659375,SPEAKER_01,0.48460468649864197,1, or fly right? So how could he have caused this?,ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_9.wav
4.570343750000001,6.66284375,SPEAKER_01,0.43449077010154724,1, Maybe Warme really was a monster.,ang,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_9.wav
14.83034375,19.977218750000002,SPEAKER_00,0.29609808325767517,0, I won't forget so listen and you are free,hap,10_Background_Details_You_Never_Noticed_SpongeBob_16k_chunk_9.wav
